00:00.0,-0.011719,1.00781,-0.122266
50:40.3,-0.015625,1.01133,-0.123047
50:40.8,-0.011328,1.01172,-0.122266
50:41.3,-0.011719,1.01172,-0.122656
50:41.8,-0.012891,1.00977,-0.122266
50:42.3,-0.014063,1.00781,-0.121094
50:42.8,-0.011719,1.00781,-0.121094
50:43.3,-0.011719,1.00937,-0.123828
50:43.8,-0.012109,1.00898,-0.125
50:44.3,-0.013672,1.00977,-0.123438
50:44.8,-0.014453,1.00937,-0.123828
50:45.3,-0.0125,1.01055,-0.123828
50:45.8,-0.012891,1.01172,-0.125
50:46.3,-0.013281,1.01016,-0.125
50:46.8,-0.012109,1.00781,-0.125
50:47.3,-0.012891,1.0082,-0.125
50:47.8,-0.014063,1.01094,-0.128516
50:48.3,-0.014453,1.01289,-0.128516
50:48.8,-0.0125,1.01016,-0.128516
50:49.3,-0.015625,1.01055,-0.125391
50:49.8,-0.015625,1.01172,-0.126563
50:50.3,-0.014844,1.00977,-0.124219
50:50.8,-0.011719,1.01328,-0.122266
50:51.3,-0.013672,1.01289,-0.121094
50:51.8,-0.013672,1.00898,-0.122656
50:52.3,-0.011719,1.00898,-0.124609
50:52.8,-0.0125,1.01016,-0.125
50:53.3,-0.011719,1.00977,-0.129297
50:53.8,-0.013672,1.00937,-0.125781
50:54.3,-0.012891,1.01172,-0.126172
50:54.8,-0.014453,1.01289,-0.133203
50:55.3,-0.012109,1.01172,-0.130469
50:55.8,-0.010547,1.00898,-0.120312
50:56.3,-0.0125,1.01055,-0.122266
50:56.8,-0.014063,1.01055,-0.128125
50:57.3,-0.010937,1.01133,-0.124609
50:57.8,-0.0125,1.00977,-0.123047
50:58.3,-0.014453,1.01172,-0.126563
50:58.8,-0.014063,1.01094,-0.129297
50:59.3,-0.0125,1.00781,-0.126563
50:59.8,-0.014453,1.01055,-0.128516
51:00.3,-0.015625,1.00977,-0.128125
51:00.8,-0.014844,1.01094,-0.124609
51:01.3,-0.013672,1.0082,-0.123828
51:01.8,-0.009766,1.00859,-0.124219
51:02.3,-0.012109,1.01094,-0.127344
51:02.8,-0.016797,1.01211,-0.128906
51:03.3,-0.012109,1.01172,-0.132422
51:03.8,-0.013672,1.01094,-0.126953
51:04.3,-0.015234,1.01172,-0.126563
51:04.8,-0.010937,1.0125,-0.126953
51:05.3,-0.013281,1.00977,-0.127734
51:05.8,-0.012109,1.01094,-0.125781
51:06.4,-0.0125,1.01016,-0.125
51:06.8,-0.012891,1.01172,-0.130078
51:07.3,-0.015625,1.01016,-0.123828
51:07.8,-0.013281,1.00781,-0.121484
51:08.3,-0.010156,1.00898,-0.126172
51:08.8,-0.012109,1.01172,-0.125781
51:09.3,-0.011719,1.01055,-0.125
51:09.8,-0.014063,1.01484,-0.124609
51:10.3,-0.010547,1.01055,-0.124609
51:10.8,-0.012109,1.00781,-0.126563
51:11.3,-0.011719,1.00937,-0.124609
51:11.8,-0.012891,1.01055,-0.125781
51:12.3,-0.013281,1.00781,-0.126953
51:12.8,-0.011719,1.00859,-0.125781
51:13.3,-0.014063,1.00859,-0.125391
51:13.8,-0.0125,1.01094,-0.122656
51:14.3,-0.012109,1.01133,-0.127344
51:14.8,-0.012109,1.01172,-0.126953
51:15.3,-0.013672,1.00898,-0.126563
51:15.8,-0.016406,1.01133,-0.125781
51:16.3,-0.010156,1.00937,-0.123438
51:16.8,-0.012891,1.01094,-0.125391
51:17.3,-0.012891,1.0125,-0.126172
51:17.8,-0.016406,1.01172,-0.130078
51:18.3,-0.011719,1.01094,-0.124219
51:18.8,-0.0125,1.01133,-0.124219
51:19.3,-0.013281,1.01016,-0.122656
51:19.8,-0.013672,1.00937,-0.124219
51:20.3,-0.011719,1.00781,-0.124609
51:20.8,-0.0125,1.01172,-0.128516
51:21.3,-0.013281,1.01133,-0.126563
51:21.8,-0.013672,1.01094,-0.125781
51:22.3,-0.013281,1.01211,-0.127734
51:22.8,-0.010937,1.00937,-0.125
51:23.3,-0.015234,1.00898,-0.123438
51:23.8,-0.014844,1.00781,-0.128125
51:24.3,-0.015625,1.01367,-0.132422
51:24.8,-0.013672,1.01172,-0.129297
51:25.3,-0.011719,1.00977,-0.124609
51:25.8,-0.011719,1.01172,-0.125391
51:26.3,-0.015234,1.01172,-0.128125
51:26.8,-0.013281,1.01172,-0.132031
51:27.3,-0.012891,1.00898,-0.129297
51:27.8,-0.013281,1.01133,-0.13125
51:28.3,-0.014844,1.01016,-0.127344
51:28.8,-0.013672,1.00898,-0.132813
51:29.3,-0.014063,1.0082,-0.130078
51:29.8,-0.012109,1.00937,-0.128906
51:30.3,-0.014063,1.01328,-0.127734
51:30.8,-0.015625,1.01094,-0.129688
51:31.3,-0.015234,1.01172,-0.127344
51:31.8,-0.014844,1.01016,-0.130078
51:32.3,-0.015234,1.00742,-0.130469
51:32.8,-0.015234,1.01094,-0.129297
51:33.3,-0.016016,1.01055,-0.130859
51:33.8,-0.010547,1.01172,-0.123828
51:34.3,-0.011328,1.00977,-0.129297
51:34.8,-0.011719,1.01133,-0.126172
51:35.3,-0.011719,1.01172,-0.127344
51:35.8,-0.011719,1.00937,-0.125391
51:36.3,-0.010937,1.00781,-0.125781
51:36.8,-0.010937,1.00977,-0.125391
51:37.3,-0.011328,1.00781,-0.126563
51:37.8,-0.011719,1.00937,-0.127344
51:38.3,-0.011719,1.00781,-0.127734
51:38.8,-0.0125,1.01055,-0.125391
51:39.3,-0.015234,1.01172,-0.127344
51:39.8,-0.014453,1.0082,-0.126953
51:40.3,-0.014453,1.00937,-0.127734
51:40.8,-0.012109,1.00859,-0.132031
51:41.3,-0.017969,1.01172,-0.130469
51:41.8,-0.015234,1.01172,-0.130859
51:42.3,-0.012109,1.01055,-0.129297
51:42.8,-0.0125,1.00781,-0.130859
51:43.3,-0.014063,1.01211,-0.128516
51:43.8,-0.013672,1.01172,-0.128125
51:44.3,-0.015234,1.01094,-0.127344
51:44.8,-0.0125,1.00898,-0.127344
51:45.3,-0.014844,1.00977,-0.123828
51:45.8,-0.015234,1.01094,-0.127344
51:46.3,-0.0125,1.00937,-0.126953
51:46.8,-0.009766,1.00781,-0.126953
51:47.3,-0.012109,1.01094,-0.126172
51:47.8,-0.014063,1.00781,-0.127734
51:48.3,-0.014063,1.00742,-0.126563
51:48.8,-0.013672,1.01172,-0.13125
51:49.3,-0.011719,1.01016,-0.126563
51:49.8,-0.0125,1.00781,-0.130078
51:50.3,-0.013281,1.00977,-0.126563
51:50.8,-0.012891,1.01172,-0.127734
51:51.3,-0.016016,1.01172,-0.127734
51:51.8,-0.013672,1.01133,-0.126953
51:52.3,-0.008984,1.01016,-0.126563
51:52.8,-0.014063,1.01094,-0.128125
51:53.3,-0.011328,1.01016,-0.127344
51:53.8,-0.015234,1.01016,-0.130078
51:54.3,-0.014063,1.01289,-0.133594
51:54.8,-0.014063,1.01367,-0.130859
51:55.3,-0.014063,1.01133,-0.128125
51:55.8,-0.0125,1.00781,-0.125781
51:56.3,-0.015234,1.00859,-0.128516
51:56.8,-0.012109,1.00977,-0.125781
51:57.3,-0.014453,1.0125,-0.128125
51:57.8,-0.013281,1.01055,-0.127734
51:58.3,-0.014063,1.01055,-0.127344
51:58.8,-0.014453,1.01094,-0.129297
51:59.3,-0.015625,1.01016,-0.125391
51:59.8,-0.013672,1.01055,-0.126563
52:00.3,-0.013672,1.0125,-0.132031
52:00.8,-0.012109,1.01172,-0.128125
52:01.3,-0.013672,1.01094,-0.125
52:01.8,-0.011719,1.00977,-0.125781
52:02.3,-0.011719,1.01133,-0.125391
52:02.8,-0.011719,1.01172,-0.126172
52:03.3,-0.012891,1.01172,-0.126953
52:03.8,-0.013281,1.00937,-0.125
52:04.3,-0.013281,1.01016,-0.126172
52:04.8,-0.013672,1.00781,-0.125391
52:05.3,-0.012891,1.00781,-0.125781
52:05.8,-0.011719,1.01133,-0.125781
52:06.3,-0.012109,1.01055,-0.128516
52:06.8,-0.013672,1.01094,-0.129688
52:07.3,-0.013281,1.01055,-0.126172
52:07.8,-0.010547,1.01016,-0.125781
52:08.3,-0.011719,1.01094,-0.128125
52:08.8,-0.0125,1.00937,-0.128125
52:09.3,-0.013672,1.00937,-0.13125
52:09.8,-0.014453,1.01172,-0.130469
52:10.3,-0.012109,1.01016,-0.128906
52:10.8,-0.016016,1.01094,-0.132031
52:11.3,-0.0125,1.01133,-0.132422
52:11.8,-0.016406,1.01367,-0.124609
52:12.3,-0.014453,1.01211,-0.126172
52:12.8,-0.012891,1.0125,-0.128516
52:13.3,-0.014844,1.00859,-0.132813
52:13.8,-0.014844,1.01055,-0.130078
52:14.3,-0.014063,1.01016,-0.127344
52:14.8,-0.014844,1.01133,-0.125
52:15.3,-0.013672,1.01055,-0.122656
52:15.8,-0.014063,1.01484,-0.128516
52:16.3,-0.0125,1.00781,-0.126563
52:16.8,-0.013281,1.01055,-0.126172
52:17.3,-0.014844,1.01172,-0.133984
52:17.8,-0.011719,1.00977,-0.126563
52:18.3,-0.016797,1.01133,-0.128906
52:18.8,-0.016406,1.01211,-0.126172
52:19.3,-0.013281,1.01289,-0.126563
52:19.8,-0.016016,1.01094,-0.129297
52:20.3,-0.010547,1.0082,-0.126953
52:20.8,-0.011328,1.01055,-0.127734
52:21.3,-0.011719,1.0082,-0.126563
52:21.8,-0.013281,1.01016,-0.125781
52:22.3,-0.014063,1.01133,-0.128125
52:22.8,-0.015234,1.01094,-0.130078
52:23.3,-0.012891,1.01055,-0.13125
52:23.8,-0.016797,1.00977,-0.126563
52:24.3,-0.014844,1.01172,-0.128516
52:24.8,-0.013281,1.01133,-0.126563
52:25.3,-0.015234,1.01016,-0.129688
52:25.8,-0.0125,1.01133,-0.128125
52:26.3,-0.012891,1.01172,-0.129688
52:26.8,-0.014063,1.01172,-0.128906
52:27.3,-0.015234,1.01016,-0.130859
52:27.8,-0.011328,1.01016,-0.126172
52:28.3,-0.011719,1.01172,-0.129297
52:28.8,-0.011719,1.00781,-0.128906
52:29.3,-0.011719,1.00781,-0.128125
52:29.8,-0.011719,1.00781,-0.126563
52:30.3,-0.012891,1.00781,-0.128906
52:30.8,-0.012891,1.00781,-0.128125
52:31.3,-0.0125,1.00977,-0.126172
52:31.8,-0.012109,1.00937,-0.126953
52:32.3,-0.013281,1.00937,-0.126563
52:32.8,-0.010937,1.01094,-0.130078
52:33.3,-0.013672,1.01094,-0.127344
52:33.8,-0.0125,1.00898,-0.126953
52:34.3,-0.013281,1.00977,-0.125
52:34.8,-0.011719,1.0082,-0.126172
52:35.3,-0.015234,1.01172,-0.126172
52:35.8,-0.014844,1.01289,-0.129688
52:36.3,-0.0125,1.00977,-0.126172
52:36.8,-0.013281,1.00781,-0.128516
52:37.3,-0.0125,1.00781,-0.127344
52:37.8,-0.011328,1.01133,-0.132422
52:38.3,-0.015625,1.01133,-0.132031
52:38.8,-0.012891,1.01094,-0.128516
52:39.3,-0.013281,1.01211,-0.129297
52:39.8,-0.013672,1.01172,-0.125781
52:40.3,-0.012109,1.01094,-0.123438
52:40.8,-0.013672,1.01328,-0.126563
52:41.3,-0.012891,1.01055,-0.129297
52:41.8,-0.014453,1.0082,-0.128516
52:42.3,-0.012891,1.01094,-0.128906
52:42.8,-0.012109,1.00937,-0.13125
52:43.3,-0.014844,1.01016,-0.133203
52:43.8,-0.012109,1.01133,-0.128906
52:44.3,-0.012891,1.01172,-0.130078
52:44.8,-0.013672,1.01094,-0.130078
52:45.3,-0.014063,1.01172,-0.130078
52:45.8,-0.013672,1.00977,-0.128516
52:46.3,-0.012891,1.00937,-0.125
52:46.8,-0.012109,1.00977,-0.129688
52:47.3,-0.014453,1.01172,-0.126953
52:47.8,-0.015234,1.01172,-0.130469
52:48.3,-0.011719,1.01172,-0.125781
52:48.8,-0.013672,1.00937,-0.127734
52:49.3,-0.014844,1.01406,-0.128906
52:49.8,-0.013281,1.01289,-0.133594
52:50.3,-0.013672,1.01133,-0.128516
52:50.8,-0.015234,1.01172,-0.130469
52:51.3,-0.015625,1.01172,-0.126953
52:51.8,-0.016797,1.01367,-0.130859
52:52.3,-0.014844,1.01055,-0.128906
52:52.8,-0.014063,1.00781,-0.125
52:53.3,-0.013672,1.00859,-0.128906
52:53.8,-0.015625,1.01211,-0.128906
52:54.3,-0.0125,1.01172,-0.127344
52:54.8,-0.014453,1.01133,-0.126563
52:55.3,-0.015625,1.01094,-0.13125
52:55.8,-0.014453,1.01211,-0.135937
52:56.3,-0.011719,1.01172,-0.126953
52:56.8,-0.0125,1.01016,-0.126172
52:57.3,-0.011719,1.0082,-0.127734
52:57.8,-0.013672,1.01055,-0.129297
52:58.3,-0.013281,1.01133,-0.125
52:58.8,-0.011719,1.00977,-0.128906
52:59.3,-0.010937,1.00859,-0.126563
52:59.8,-0.012891,1.01055,-0.126563
53:00.3,-0.011328,1.01055,-0.126953
53:00.8,-0.012109,1.00781,-0.125781
53:01.3,-0.011719,1.00898,-0.125
53:01.8,-0.016406,1.00977,-0.133984
53:02.3,-0.013672,1.00937,-0.127734
53:02.8,-0.014844,1.00898,-0.13125
53:03.3,-0.015625,1.01172,-0.131641
53:03.8,-0.014063,1.01289,-0.132422
53:04.3,-0.015234,1.01133,-0.128516
53:04.8,-0.015625,1.01289,-0.131641
53:05.3,-0.014453,1.01016,-0.130859
53:05.8,-0.011719,1.01055,-0.130859
53:06.3,-0.014063,1.0082,-0.125391
53:06.8,-0.014063,1.01172,-0.126172
53:07.3,-0.014453,1.01211,-0.125781
53:07.8,-0.011719,1.01211,-0.131641
53:08.3,-0.015234,1.01094,-0.128125
53:08.8,-0.011719,1.01172,-0.123828
53:09.3,-0.011328,1.01016,-0.127344
53:09.8,-0.013281,1.01211,-0.135156
53:10.3,-0.013281,1.00898,-0.125781
53:10.8,-0.017188,1.01328,-0.127734
53:11.3,-0.0125,1.01289,-0.126563
53:11.8,-0.014063,1.01172,-0.129688
53:12.3,-0.0125,1.01172,-0.128516
53:12.8,-0.013281,1.01016,-0.121484
53:13.3,-0.013281,1.01094,-0.130859
53:13.8,-0.014453,1.01172,-0.130078
53:14.3,-0.010937,1.01094,-0.130469
53:14.8,-0.016797,1.0125,-0.130859
53:15.3,-0.0125,1.01055,-0.130078
53:15.8,-0.017969,1.01172,-0.132422
53:16.3,-0.0125,1.00781,-0.124609
53:16.8,-0.012891,1.0125,-0.126172
53:17.4,-0.015234,1.01172,-0.135547
53:17.8,-0.010156,1.01055,-0.128125
53:18.3,-0.012891,1.01211,-0.129297
53:18.8,-0.014063,1.01172,-0.130469
53:19.3,-0.013672,1.01133,-0.129688
53:19.8,-0.011328,1.01055,-0.134766
53:20.3,-0.012109,1.01055,-0.128125
53:20.8,-0.015234,1.00898,-0.127344
53:21.3,-0.014063,1.01094,-0.127734
53:21.8,-0.013672,1.01055,-0.125781
53:22.3,-0.014844,1.01172,-0.124609
53:22.8,-0.015625,1.01172,-0.123828
53:23.3,-0.015234,1.00898,-0.13125
53:23.8,-0.014453,1.01133,-0.130078
53:24.3,-0.012109,1.01172,-0.126563
53:24.8,-0.010937,1.00781,-0.128906
53:25.3,-0.011328,1.00781,-0.126172
53:25.8,-0.014453,1.00781,-0.125
53:26.3,-0.012891,1.00859,-0.126172
53:26.8,-0.013281,1.00977,-0.129688
53:27.3,-0.011328,1.00781,-0.129297
53:27.8,-0.012891,1.00859,-0.128516
53:28.3,-0.011719,1.00781,-0.128906
53:28.8,-0.011719,1.01133,-0.128125
53:29.3,-0.010547,1.01172,-0.126563
53:29.8,-0.012109,1.01328,-0.128516
53:30.3,-0.016016,1.01055,-0.129297
53:30.8,-0.0125,1.00781,-0.129297
53:31.3,-0.015625,1.00859,-0.128125
53:31.8,-0.010547,1.0082,-0.125391
53:32.3,-0.011328,1.0082,-0.127344
53:32.8,-0.013281,1.01211,-0.126953
53:33.3,-0.011719,1.01016,-0.126172
53:33.8,-0.012109,1.00664,-0.125781
53:34.3,-0.012891,1.00781,-0.125391
53:34.8,-0.010937,1.01016,-0.125391
53:35.3,-0.014844,1.01094,-0.126563
53:35.8,-0.012891,1.01094,-0.126172
53:36.3,-0.013281,1.00977,-0.126953
53:36.8,-0.016016,1.01055,-0.127344
53:37.3,-0.019531,1.01172,-0.126563
53:37.8,-0.011719,1.01016,-0.123828
53:38.3,-0.012109,1.01016,-0.132813
53:38.8,-0.013281,1.0125,-0.128125
53:39.3,-0.014453,1.00937,-0.125
53:39.8,-0.013281,1.01055,-0.126953
53:40.3,-0.012109,1.01055,-0.13125
53:40.8,-0.011328,1.00937,-0.130469
53:41.3,-0.013281,1.00781,-0.126953
53:41.8,-0.011719,1.01172,-0.126563
53:42.3,-0.014844,1.01172,-0.129688
53:42.8,-0.0125,1.01094,-0.129688
53:43.3,-0.013281,1.01055,-0.129688
53:43.8,-0.013281,1.00977,-0.127734
53:44.3,-0.014063,1.01133,-0.128125
53:44.8,-0.009375,1.01094,-0.125
53:45.3,-0.014844,1.00977,-0.127734
53:45.8,-0.014844,1.01172,-0.127344
53:46.3,-0.014844,1.0125,-0.131641
53:46.8,-0.014453,1.01016,-0.124609
53:47.3,-0.014844,1.01055,-0.124609
53:47.8,-0.012109,1.01211,-0.130859
53:48.3,-0.010937,1.01055,-0.126563
53:48.8,-0.010156,1.00977,-0.129688
53:49.3,-0.009375,1.00781,-0.128906
53:49.8,-0.012109,1.00937,-0.127734
53:50.3,-0.011719,1.01055,-0.125391
53:50.8,-0.011719,1.00781,-0.129297
53:51.3,-0.011719,1.00937,-0.125
53:51.8,-0.011719,1.01094,-0.127734
53:52.3,-0.012891,1.00937,-0.125
53:52.8,-0.011719,1.01172,-0.127344
53:53.3,-0.0125,1.01055,-0.127344
53:53.8,-0.014844,1.01133,-0.128906
53:54.3,-0.016406,1.01289,-0.128516
53:54.8,-0.015234,1.01016,-0.128125
53:55.3,-0.0125,1.01094,-0.126953
53:55.8,-0.012891,1.01055,-0.127344
53:56.3,-0.0125,1.0082,-0.128516
53:56.8,-0.014453,1.01016,-0.126563
53:57.3,-0.014844,1.01172,-0.128906
53:57.8,-0.014063,1.00977,-0.125781
53:58.3,-0.013672,1.00859,-0.129688
53:58.8,-0.013281,1.0082,-0.129297
53:59.3,-0.012109,1.01016,-0.128516
53:59.8,-0.014453,1.00937,-0.130078
54:00.3,-0.015625,1.00781,-0.13125
54:00.8,-0.0125,1.00937,-0.132422
54:01.3,-0.014453,1.01172,-0.130859
54:01.8,-0.012891,1.01133,-0.132031
54:02.3,-0.013281,1.01055,-0.126172
54:02.8,-0.014063,1.00977,-0.128516
54:03.3,-0.013281,1.01172,-0.128516
54:03.8,-0.0125,1.01055,-0.124609
54:04.3,-0.011719,1.00977,-0.128125
54:04.8,-0.014844,1.01055,-0.130469
54:05.3,-0.011328,1.01094,-0.129297
54:05.8,-0.012891,1.01133,-0.128125
54:06.3,-0.011719,1.01211,-0.130078
54:06.8,-0.014453,1.00977,-0.125391
54:07.3,-0.013672,1.01055,-0.132031
54:07.8,-0.0125,1.00937,-0.128125
54:08.3,-0.011719,1.01094,-0.132813
54:08.8,-0.012891,1.0082,-0.13125
54:09.3,-0.012109,1.01172,-0.130469
54:09.8,-0.014063,1.01172,-0.127344
54:10.3,-0.014063,1.01172,-0.127734
54:10.8,-0.014453,1.01172,-0.128906
54:11.3,-0.014844,1.01094,-0.129297
54:11.8,-0.0125,1.00859,-0.126953
54:12.3,-0.017578,1.00977,-0.128516
54:12.8,-0.013281,1.00977,-0.128125
54:13.3,-0.010937,1.01172,-0.124609
54:13.8,-0.016016,1.01172,-0.128516
54:14.3,-0.0125,1.0125,-0.130469
54:14.8,-0.014844,1.01016,-0.129297
54:15.3,-0.0125,1.00898,-0.126953
54:15.8,-0.011719,1.01016,-0.127344
54:16.3,-0.011328,1.01016,-0.128906
54:16.8,-0.011719,1.01094,-0.128906
54:17.3,-0.013281,1.00859,-0.128906
54:17.8,-0.011719,1.01133,-0.128516
54:18.3,-0.0125,1.00898,-0.127344
54:18.8,-0.012109,1.00898,-0.128516
54:19.3,-0.011719,1.00977,-0.125781
54:19.8,-0.013281,1.01016,-0.126953
54:20.3,-0.014063,1.00781,-0.13125
54:20.8,-0.014453,1.01133,-0.128906
54:21.3,-0.011719,1.01016,-0.125
54:21.8,-0.013281,1.01055,-0.128516
54:22.3,-0.012891,1.01133,-0.129688
54:22.8,-0.0125,1.01055,-0.128125
54:23.3,-0.014063,1.01133,-0.127344
54:23.8,-0.015625,1.01328,-0.129297
54:24.3,-0.014063,1.01172,-0.130469
54:24.8,-0.014844,1.01211,-0.126953
54:25.3,-0.013672,1.01133,-0.128125
